id;value
1007_s_at;9.91194241626869
1053_at;7.48677509962985
117_at;5.99573738854885
121_at;7.05570747019673
1255_g_at;2.79990102088549
1294_at;7.17742377678504
1316_at;6.11281030088416
1320_at;4.16217534294054
1405_i_at;10.9211877782736
1431_at;3.42314561818983
1438_at;5.69349881380993
1487_at;6.58714252935408
1494_f_at;4.84203918762236
1552256_a_at;6.24318208333925
1552257_a_at;7.34651750315514
1552258_at;5.19968907204465
1552261_at;3.4267043073878
1552263_at;6.89178887008564
1552264_a_at;7.36413837923144
1552266_at;2.59426752586824
1552269_at;3.52772535602158
1552271_at;4.15633952362061
1552272_a_at;5.19968907204465
1552274_at;6.72451965515646
1552275_s_at;6.01681776358739
1552276_a_at;4.3766201330094
1552277_a_at;6.9395842128119
1552278_a_at;5.27614024475852
1552279_a_at;6.29921580968807
1552280_at;4.50835922269781
1552281_at;4.74154050558286
1552283_s_at;3.52772535602158
1552286_at;4.94253786966186
1552287_s_at;6.33539795302183
1552288_at;5.51571324951999
1552289_a_at;6.77808272010853
1552291_at;6.22400988242351
1552293_at;4.74154050558286
1552295_a_at;6.29921580968807
1552296_at;3.21976862265205
1552299_at;4.50835922269781
1552301_a_at;5.23842100609657
1552302_at;5.34874321190961
1552303_a_at;5.94837716785158
1552304_at;4.94253786966186
1552306_at;4.62955324487383
1552307_a_at;5.90087707684118
1552309_a_at;8.83526226195821
1552310_at;7.03067182890925
1552311_a_at;6.03892832107344
1552312_a_at;6.7515497534314
1552314_a_at;4.07633373581559
1552315_at;7.30150008446443
1552316_a_at;8.03204807102287
1552318_at;7.68475160251621
1552319_a_at;2.90442088433613
1552320_a_at;2.69639550874879
1552321_a_at;2.69639550874879
1552322_at;2.69639550874879
1552323_s_at;4.84552509170917
1552325_at;1.77227647757034
1552326_a_at;4.23298602624613
1552327_at;2.90442088433613
1552329_at;6.69697344011705
1552330_at;5.07683413820373
1552332_at;6.55075333007874
1552334_at;5.54690758424938
1552335_at;4.79446457762277
1552337_s_at;3.6265226137276
1552338_at;4.57018850527217
1552340_at;4.3766201330094
1552343_s_at;5.90087707684118
1552344_s_at;7.41574536164781
1552347_at;6.65464211850612
1552348_at;4.57018850527217
